user_id,total_deposit,total_withdrawal,deposit_count,withdrawal_count,total_games,loyalty_points,user_rank
634,515000.00,15737705.00,8,67,24,83843.33,1
99,1164800.00,2403141.00,47,15,10,23665.74,2
672,2158700.00,233750.00,35,5,10,22757.78,3
212,1924981.00,589850.00,26,4,1,22199.28,4
740,1738490.00,365288.00,91,7,2,19211.82,5
566,1819175.00,185071.00,53,3,185,19154.16,6
714,1676300.00,0.00,34,0,6,16764.23,7
421,878600.00,1269809.00,99,84,1617,15458.46,8
369,650000.00,1586208.00,13,9,37,14438.44,9
30,1329000.00,152145.00,51,1,13,14053.38,10
587,671700.00,1355000.00,89,8,752,13642.48,11
222,1285000.00,99358.00,16,3,10,13348.80,12
352,1083034.00,429518.00,128,8,323,13042.65,13
365,311000.00,1802335.00,10,33,3766,12874.88,14
920,367700.00,1734480.00,41,52,954,12540.20,15
162,68320.00,2360000.00,7,23,2,12483.60,16
415,350000.00,1759843.00,6,6,27,12304.62,17
569,1227780.00,0.00,23,0,38,12285.42,18
786,661500.00,1096160.00,27,11,7,12097.22,19
2,567000.00,1270215.00,20,20,99,12040.88,20
238,923400.00,445000.00,45,7,925,11644.04,21
992,804978.00,616278.00,18,11,2547,11640.58,22
28,1061500.00,0.00,49,0,38,10622.65,23
538,1025000.00,8558.00,27,1,29,10298.62,24
208,644934.00,657928.00,35,9,519,9842.81,25
989,240000.00,1339000.00,12,20,3575,9810.00,26
978,794358.00,288114.00,69,14,79,9400.01,27
915,780028.00,307609.00,84,7,8,9340.00,28
678,379000.00,1100000.00,22,1,13,9292.62,29
78,159000.00,1484900.00,32,47,619,9138.30,30
909,679745.00,454060.00,125,5,1,9068.07,31
182,795000.00,80339.00,16,4,2508,8853.31,32
93,616000.00,511474.00,76,24,503,8818.02,33
200,539998.00,593000.00,8,5,4,8365.78,34
259,824020.00,0.00,115,0,128,8265.92,35
306,826000.00,0.00,57,0,4,8260.86,36
344,311900.00,1024000.00,18,10,4,8239.81,37
601,692144.00,240000.00,23,1,35,8128.46,38
515,580000.00,400000.00,14,6,428,7885.61,39
294,607700.00,311187.00,41,3,5,7633.97,40
681,689000.00,132000.00,65,1,8,7551.66,41
950,732000.00,35500.00,99,4,4,7498.40,42
675,662500.00,70000.00,50,1,660,7107.05,43
663,425000.00,290200.00,52,35,6582,7017.42,44
438,400000.00,594851.00,2,1,1,6974.46,45
619,697000.00,0.00,13,0,2,6970.41,46
245,209450.00,912200.00,25,10,3,6656.12,47
547,493200.00,245863.00,41,14,1281,6417.54,48
612,554800.00,109081.00,53,8,1601,6413.65,49
949,409100.00,434171.00,64,7,1,6262.11,50
856,405000.00,193500.00,30,11,6200,6257.52,51
976,625000.00,0.00,15,0,6,6251.22,52
687,581027.00,0.00,43,0,1722,6154.71,53
16,360201.00,418387.00,54,39,2154,6124.76,54
417,575000.00,56100.00,15,8,422,6114.91,55
