user_id,amount,datetime
190,5872,2022-10-01 00:03:00
159,9540,2022-10-01 00:16:00
164,815,2022-10-01 00:24:00
946,23000,2022-10-01 00:29:00
763,9473,2022-10-01 00:40:00
47,3637,2022-10-01 01:01:00
302,2000,2022-10-01 01:11:00
461,9800,2022-10-01 01:17:00
12,1800,2022-10-01 01:27:00
530,16000,2022-10-01 01:32:00
471,25000,2022-10-01 02:00:00
968,2000,2022-10-01 02:03:00
157,27777,2022-10-01 02:45:00
47,1873,2022-10-01 02:52:00
313,6000,2022-10-01 03:27:00
852,10850,2022-10-01 03:29:00
804,1719,2022-10-01 03:32:00
417,2750,2022-10-01 03:33:00
480,3887,2022-10-01 03:45:00
164,5200,2022-10-01 03:50:00
946,35000,2022-10-01 03:57:00
633,10000,2022-10-01 04:05:00
689,200,2022-10-01 04:05:00
234,3802,2022-10-01 04:25:00
941,60000,2022-10-01 04:36:00
390,5000,2022-10-01 04:38:00
637,1000,2022-10-01 05:25:00
506,6000,2022-10-01 05:48:00
667,5289,2022-10-01 05:51:00
422,22000,2022-10-01 06:05:00
27,6000,2022-10-01 06:44:00
677,10000,2022-10-01 06:52:00
16,9999,2022-10-01 06:52:00
941,175000,2022-10-01 06:54:00
238,51000,2022-10-01 07:29:00
272,16705,2022-10-01 07:34:00
625,21700,2022-10-01 07:52:00
541,3700,2022-10-01 08:01:00
946,39000,2022-10-01 08:26:00
421,7000,2022-10-01 08:30:00
253,56069,2022-10-01 08:42:00
598,12000,2022-10-01 08:57:00
407,9000,2022-10-01 09:03:00
276,12925,2022-10-01 09:05:00
421,12200,2022-10-01 09:50:00
880,240000,2022-10-01 09:54:00
440,3300,2022-10-01 10:03:00
262,500,2022-10-01 10:09:00
464,48600,2022-10-01 10:11:00
335,20000,2022-10-01 10:15:00
940,50000,2022-10-01 10:17:00
774,50000,2022-10-01 10:36:00
599,13144,2022-10-01 10:40:00
261,500,2022-10-01 10:54:00
9,49900,2022-10-01 11:08:00
99,61791,2022-10-01 11:36:00
299,10000,2022-10-01 11:39:00
97,12000,2022-10-01 11:42:00
187,2000,2022-10-01 12:05:00
99,23198,2022-10-01 12:08:00
421,7800,2022-10-01 12:13:00
471,17015,2022-10-01 12:33:00
885,15000,2022-10-01 12:40:00
296,13156,2022-10-01 12:40:00
502,500,2022-10-01 12:41:00
11,2500,2022-10-01 13:12:00
412,1700,2022-10-01 13:27:00
962,5100,2022-10-01 13:31:00
474,24000,2022-10-01 13:46:00
888,5000,2022-10-01 13:58:00
31,2000,2022-10-01 14:13:00
852,6500,2022-10-01 14:16:00
987,4400,2022-10-01 14:18:00
666,4000,2022-10-01 14:28:00
663,10474,2022-10-01 14:39:00
852,9250,2022-10-01 14:57:00
888,199,2022-10-01 15:02:00
74,2080,2022-10-01 15:14:00
114,7500,2022-10-01 15:21:00
989,75000,2022-10-01 15:35:00
634,258533,2022-10-01 15:53:00
795,5500,2022-10-01 16:22:00
292,8900,2022-10-01 17:07:00
514,7000,2022-10-01 17:12:00
929,9636,2022-10-01 17:17:00
2,55000,2022-10-01 18:03:00
471,250,2022-10-01 18:05:00
246,5000,2022-10-01 18:14:00
380,7000,2022-10-01 18:15:00
972,3500,2022-10-01 18:17:00
296,7000,2022-10-01 18:18:00
508,20000,2022-10-01 18:21:00
634,295671,2022-10-01 18:25:00
540,75000,2022-10-01 18:33:00
681,132000,2022-10-01 18:40:00
565,200,2022-10-01 18:44:00
292,12049,2022-10-01 18:45:00
845,22700,2022-10-01 18:46:00
850,33451,2022-10-01 19:05:00
733,125,2022-10-01 19:08:00
16,8222,2022-10-01 19:34:00
775,5000,2022-10-01 19:38:00
483,8050,2022-10-01 20:04:00
142,43400,2022-10-01 20:14:00
509,173,2022-10-01 20:34:00
933,5500,2022-10-01 20:43:00
987,1750,2022-10-01 21:01:00
890,50000,2022-10-01 21:06:00
155,5500,2022-10-01 21:32:00
31,6000,2022-10-01 21:43:00
